artists,acousticness,danceability,duration_ms,energy,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
A Certain Ratio,0.132125,0.695,344633.0,0.933,0.07475,-7.848,0.0631,125.9155,0.5820000000000001,28.5,2,1,4,"['dance rock', 'dance-punk', 'experimental', 'new wave', 'no wave', 'post-punk', 'uk post-punk']"
A Change of Pace,0.0011,0.528,183893.0,0.946,0.0655,-4.874,0.0704,133.07399999999998,0.718,43.0,9,1,2,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']"
A Day To Remember,0.025386785,0.400111111,207685.9259,0.918740741,0.286644444,-4.435851852,0.112564815,144.3046296,0.454703704,53.09259259,0,1,108,"['metalcore', 'pop punk', 'screamo']"
A Fine Frenzy,0.947,0.5489999999999999,268800.0,0.24,0.106,-7.778,0.0338,119.58,0.16699999999999998,53.0,0,1,2,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']"
A Flock Of Seagulls,0.02664142,0.51045,248003.4,0.73685,0.20853,-9.1263,0.037445,145.3544,0.6902,42.5,2,1,40,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
A Foot In Coldwater,0.0126,0.444,311867.0,0.5920000000000001,0.108,-7.775,0.039,100.811,0.253,32.0,2,1,2,[others]
A Great Big World,0.6258,0.4695,243813.5,0.374625,0.113625,-8.29675,0.043625,119.454125,0.22725,58.25,2,1,8,"['indiecoustica', 'neo mellow', 'piano rock', 'pop rock']"
A Guy Called Gerald,0.03,0.6829999999999999,267107.0,0.789,0.0724,-9.034,0.0602,119.504,0.657,46.0,2,1,2,"['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno']"
A Heart Beats,0.8540000000000001,0.507,146173.0,0.255,0.172,-11.857,0.0651,97.231,0.438,37.0,7,1,2,"['doo-wop', 'rhythm and blues']"
A Jam Session At Victor,0.955,0.7170000000000001,178907.0,0.17800000000000002,0.0663,-15.267,0.0607,84.079,0.479,2.0,3,1,2,[others]
A L E X,0.8690000000000001,0.82,182869.0,0.281,0.0925,-15.194,0.0802,104.988,0.62,63.0,8,0,1,"['chillhop', 'lo-fi beats']"
A Perfect Circle,0.109087908,0.519525424,251080.3898,0.622520339,0.135864407,-9.76320339,0.055608475,124.4771017,0.256277966,49.13559322,6,1,59,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock', 'supergroup']"
A R I Z O N A,0.17956923100000002,0.655076923,190651.3077,0.649,0.117338462,-7.372307692000001,0.051307692,103.9159231,0.347615385,65.07692308,0,1,13,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']"
A Rocket To The Moon,0.1617,0.374333333,203679.6667,0.687,0.147333333,-3.153666667,0.030166667,168.29766669999995,0.361333333,57.33333333,11,1,6,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']"
A Skylit Drive,0.00121075,0.25275,210366.75,0.9275,0.2539,-3.42325,0.094425,123.785,0.306,44.5,10,1,8,"['metalcore', 'pixie', 'post-screamo', 'screamo']"
A Static Lullaby,3.01e-05,0.555,200240.0,0.98,0.0661,-6.063,0.154,143.005,0.37,48.0,8,1,2,"['melodic metalcore', 'post-hardcore', 'screamo']"
A Taste Of Honey,0.326025,0.75475,280870.0,0.53875,0.121125,-9.2815,0.057625,126.93325,0.7490000000000001,45.5,2,0,8,"['boogie', 'disco', 'funk', 'post-disco']"
A Thousand Horses,0.0349,0.433,219080.0,0.7759999999999999,0.387,-5.53,0.029,149.641,0.424,55.0,7,1,2,"['contemporary country', 'country pop', 'modern country rock']"
A Touch Of Class,0.31425,0.6755,181186.5,0.91725,0.11875,-6.03175,0.030325,128.45600000000002,0.605,64.75,9,0,4,"['bubblegum dance', 'europop']"
A Tree Grows in Brooklyn Ensemble,0.953,0.45375,164456.75,0.22375,0.274475,-14.731,0.0479,91.52275,0.54175,0.25,7,1,4,[others]
A Tree Grows in Brooklyn Orchestra,0.915,0.261,302533.0,0.379,0.146,-10.377,0.0342,111.529,0.269,1.0,3,1,1,[others]
A Tribe Called Red,0.023,0.6579999999999999,219853.0,0.573,0.0981,-5.408,0.107,133.442,0.583,51.0,3,0,2,"['canadian indigenous', 'escape room', 'native american hip hop', 'ottawa rap']"
A Winged Victory for the Sullen,0.767,0.0804,266840.0,0.0836,0.119,-21.007,0.04,82.14,0.0498,45.0,11,1,2,"['ambient', 'chamber psych', 'compositional ambient', 'drift', 'drone', 'focus', 'neo-classical', 'post-rock', 'warm drone']"
A*M*E,0.000607,0.621,171213.0,0.84,0.6559999999999999,-5.52,0.064,123.266,0.496,61.0,5,0,2,['reggae']
A*Teens,0.04309,0.7170000000000001,202773.6667,0.879,0.257433333,-5.705666667000001,0.036566667,124.99666670000002,0.789,44.33333333,4,1,6,"['bubblegum dance', 'dance pop', 'europop']"
A-Lin,0.583,0.399,285547.0,0.512,0.104,-5.801,0.0357,133.175,0.197,60.0,8,1,2,"['anthem worship', 'canadian ccm', 'ccm']"
A-Mei Chang,0.29,0.542,318333.0,0.38,0.409,-11.702,0.0366,123.971,0.138,51.0,10,1,2,"['c-pop', 'mandopop']"
A-Trak,0.009398,0.7048,287949.6,0.7302,0.17292000000000002,-3.6818,0.13292,131.1848,0.8042,55.4,1,0,5,"['banda', 'grupera', 'regional mexican']"
A. Caminha,0.426,0.589,277307.0,0.421,0.193,-13.483,0.0604,130.27200000000002,0.705,24.0,0,1,1,[others]
A. Jaziukevičius,0.973,0.339,193773.0,0.121,0.63,-15.457,0.0311,105.446,0.16399999999999998,1.0,9,1,2,['lithuanian folk']
A. L. Lloyd,0.968,0.5765,220446.5,0.2,0.157,-12.4645,0.06465,133.2625,0.5325,11.0,6,1,2,"['broadway', 'show tunes', 'west end']"
A. M. Rajah,0.8835,0.55595,189582.25,0.48975,0.213195,-9.42375,0.109735,130.84785,0.8648,4.4,6,1,20,"['deep indian pop', 'filmi']"
A.B. Quintanilla III,0.103083333,0.7453333329999999,226057.6667,0.813,0.215633333,-4.654333333,0.0752,114.19733329999998,0.8405,50.0,7,1,6,[others]
A.B. Quintanilla III Y Los Kumbia Kings,0.348557895,0.768,219349.5789,0.721315789,0.233463158,-5.326052632,0.072936842,138.5614737,0.845789474,49.21052632,11,1,19,[others]
A.C. Reed,0.202,0.501,258227.0,0.44,0.107,-14.466,0.0372,82.48899999999998,0.868,32.0,9,1,2,"['blues', 'chicago blues', 'electric blues', 'soul blues']"
A.C. Smyth,0.983,0.118,106693.0,0.0775,0.104,-22.774,0.0314,169.421,0.394,10.0,4,1,1,[others]
A.R. Kane,0.119,0.581,308227.0,0.831,0.0497,-10.862,0.0357,117.035,0.857,26.0,9,0,2,"['dream pop', 'shoegaze']"
A.R. Rahman,0.349903333,0.653666667,335205.5,0.556333333,0.082066667,-10.72966667,0.044666667,119.44566670000002,0.5668333329999999,57.5,9,1,6,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
A.l.t.,0.412,0.7979999999999999,273400.0,0.561,0.0446,-8.625,0.147,83.971,0.785,33.0,4,0,1,[others]
ABBA,0.354483554,0.575636364,234265.7686,0.647973554,0.192939669,-8.497115702,0.036741322,121.8772314,0.667264463,40.81818182,9,1,242,"['europop', 'swedish pop']"
ABC,0.21299,0.6827,231908.9,0.8059,0.18308,-7.1118,0.06452000000000001,122.0336,0.77,42.2,9,1,20,[others]
ABSRDST,0.0383,0.6509999999999999,241711.0,0.7929999999999999,0.17800000000000002,-5.2879999999999985,0.0837,146.07,0.261,55.0,5,1,1,['hyperpop']
AC/DC,0.030241769,0.46912,263588.7333,0.850753333,0.291534,-4.80952,0.07203999999999999,128.70656670000002,0.495099333,48.84,9,1,300,"['album rock', 'australian rock', 'hard rock', 'rock']"
ACOT,0.000319,0.73,169912.0,0.5670000000000001,0.105,-8.085,0.0587,119.997,0.171,64.0,1,0,2,['meme rap']
AFI,0.034671297000000004,0.3928,190969.7,0.8801,0.2168,-5.163633333,0.082703333,126.5737,0.4476,42.86666667,4,0,60,"['alternative metal', 'emo', 'modern rock', 'pop punk', 'punk', 'screamo', 'skate punk']"
AJ Meijer,0.8390000000000001,0.529,315947.0,0.33,0.0916,-9.333,0.0588,111.131,0.489,53.0,10,0,1,[others]
AJ Michalka,0.431,0.75,202340.0,0.513,0.0755,-9.576,0.0911,90.998,0.466,60.0,0,1,1,[others]
AJ Mitchell,0.3817,0.604,189474.5,0.526875,0.0766,-5.99025,0.036775,111.603375,0.331125,73.75,5,1,8,"['pop', 'post-teen pop', 'social media pop']"
AJ Rafael,0.5154,0.68,208678.0,0.4596,0.13935999999999998,-6.3206,0.03478,113.7878,0.6424,58.6,7,1,5,"['opm', 'pinoy indie', 'viral pop']"
AJJ,0.209344857,0.508,159988.4286,0.646571429,0.35144285700000005,-6.921428571,0.076828571,100.1091429,0.732714286,48.57142857,0,1,14,"['acoustic punk', 'anti-folk', 'folk punk', 'indie rock']"
AJR,0.213621887,0.599245283,216926.8868,0.647056604,0.168877358,-5.646603774,0.066928302,113.4057925,0.511396226,57.50943396,7,1,53,"['modern rock', 'pop rock']"
ALI,0.0989,0.578,89667.0,0.875,0.35100000000000003,-2.132,0.0642,133.964,0.617,65.0,5,0,2,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
ALISA UENO,0.0109,0.6990000000000001,184880.0,0.7,0.152,-5.704,0.0392,102.023,0.3,66.0,11,1,2,[others]
ALO,0.362,0.815,218973.0,0.412,0.129,-9.28,0.0438,87.98299999999998,0.669,57.0,0,1,1,['r&b']
AOA,0.43,0.758,179808.0,0.858,0.201,-2.502,0.0464,119.992,0.963,58.0,5,1,2,"['k-pop', 'k-pop girl group']"
APB,0.0578,0.601,223080.0,0.677,0.0721,-8.006,0.129,136.421,0.79,32.0,10,0,2,['canadian hip hop']
APO Hiking Society,0.4698,0.478266667,210464.8667,0.495,0.179493333,-11.79853333,0.051779999999999986,122.7926,0.5106666670000001,39.13333333,2,1,30,"['classic opm', 'manila sound', 'opm', 'pinoy rock']"
ARIANNA BAGAGLINI,0.873,0.669,156977.0,0.28300000000000003,0.102,-10.814,0.0805,85.956,0.406,21.0,9,0,2,[others]
ARTY,0.01955,0.574,287786.5,0.7809999999999999,0.2495,-4.675,0.0977,128.007,0.334,53.0,5,1,4,"['big room', 'edm', 'electro house', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'tropical house', 'uplifting trance']"
ASIAN KUNG-FU GENERATION,0.000520817,0.417,244089.0,0.9185,0.136,-4.0715,0.06565,156.3535,0.4891666670000001,55.66666667,4,1,12,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk', 'otacore']"
ATB,0.102866667,0.680333333,225377.6667,0.918666667,0.189266667,-6.191666667000001,0.0397,131.47899999999998,0.7436666670000001,57.66666667,10,0,6,"['german dance', 'german techno', 'trance']"
ATEEZ,0.06245,0.5685,209386.5,0.9335,0.3655,-1.9335,0.0865,113.973,0.5285,69.0,7,1,4,"['k-pop', 'k-pop boy group']"
