,artists,acousticness,danceability,duration_ms,energy,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
29,1910 Fruitgum Company,0.4185,0.757,140750.0,-9.72575,0.12425,-9.72575,0.044725,24.75,9.0,24.75,9,1,8,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']"
30,1986 Omega Tribe,0.37801666700000003,0.687,266824.3333,-13.05716667,0.155566667,-13.05716667,0.032433332999999995,37.33333333,11.0,37.33333333,11,0,12,"['future funk', 'japanese city pop']"
31,1way Frank,0.735,0.7829999999999999,170867.0,-8.507,0.158,-8.507,0.0974,56.0,10.0,56.0,10,0,2,['florida rap']
32,2 Brothers On The 4th Floor,0.00328,0.701,263163.0,-4.861000000000001,0.41600000000000004,-4.861000000000001,0.048,62.0,7.0,62.0,7,0,2,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']"
33,2 Guys n the Parque,0.0717,0.8140000000000001,93600.0,-5.416,0.0401,-5.416,0.12,48.0,11.0,48.0,11,0,2,['others']
34,2 In A Room,0.0718,0.7809999999999999,244133.0,-13.943,0.0381,-13.943,0.0494,29.0,2.0,29.0,2,1,2,"['hip house', 'latin house', 'vogue']"
35,2 Pistols,0.0043100000000000005,0.517,274053.0,-6.191,0.345,-6.191,0.105,52.0,10.0,52.0,10,0,1,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']"
36,2 Unlimited,0.027919167,0.721666667,247916.0,-11.45816667,0.103033333,-11.45816667,0.05975,49.0,6.0,49.0,6,1,12,"['bubblegum dance', 'eurodance', 'europop', 'hip house']"
37,20 Fingers,0.0009065,0.8515,253013.0,-8.8545,0.11065,-8.8545,0.0541,50.0,0.0,50.0,0,1,2,"['eurodance', 'hip house']"
38,20/20,0.000236,0.45799999999999996,257733.0,-12.130999999999998,0.0371,-12.130999999999998,0.0485,24.0,2.0,24.0,2,1,2,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']"
39,2002,0.905,0.22899999999999998,267840.3333,-19.01433333,0.105266667,-19.01433333,0.035533333,47.33333333,7.0,47.33333333,7,1,6,"['healing', 'new age']"
40,24 Horas,0.20600000000000002,0.8140000000000001,230267.0,-6.928,0.10099999999999999,-6.928,0.043,46.0,7.0,46.0,7,0,2,"['bachata', 'latin', 'tropical']"
41,24kGoldn,0.11826941199999999,0.731588235,163177.4118,-5.403823528999999,0.16,-5.403823528999999,0.123764706,69.47058824,0.0,69.47058824,0,0,17,"['cali rap', 'pop rap']"
42,2CELLOS,0.603,0.5865,253046.5,-8.705,0.149,-8.705,0.04035,58.5,2.0,58.5,2,1,4,"['bow pop', 'cello', 'classify']"
43,2NE1,0.007670000000000001,0.8190000000000001,208731.0,-3.739,0.055999999999999994,-3.739,0.038,64.0,0.0,64.0,0,1,2,"['dance pop', 'k-pop', 'k-pop girl group']"
44,2forwOyNE,0.0474,0.9229999999999999,187267.0,-5.627000000000001,0.0925,-5.627000000000001,0.0883,62.0,5.0,62.0,5,0,2,['others']
45,2nd Chapter Of Acts,0.6055,0.433,169067.0,-11.4885,0.1148,-11.4885,0.0277,28.5,1.0,28.5,1,1,4,"['christian music', 'deep christian rock']"
46,2nd South Carolina String Band,0.5895,0.5515,345866.5,-7.9145,0.2195,-7.9145,0.04625,39.5,2.0,39.5,2,1,4,"['string band', 'traditional country']"
47,3 Doors Down,0.038478175,0.503,232900.1091,-5.679090909,0.157850909,-5.679090909,0.037990908999999996,49.72727273,7.0,49.72727273,7,1,55,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
48,3 Inches Of Blood,6.4e-05,0.36700000000000005,271160.0,-3.1860000000000004,0.11,-3.1860000000000004,0.0807,46.0,9.0,46.0,9,0,2,"['canadian metal', 'power metal', 'speed metal', 'vancouver metal', 'vancouver punk']"
49,30 Roc,0.0932,0.616,175252.0,-7.718999999999999,0.107,-7.718999999999999,0.139,68.0,8.0,68.0,8,0,2,['others']
50,311,0.022413531,0.6188688520000001,205666.0,-7.354754098,0.16602459,-7.354754098,0.06582459,40.32786885,9.0,40.32786885,9,1,122,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']"
51,35MM: A Musical Exhibition Original Cast,0.113,0.772,289587.0,-7.983,0.0581,-7.983,0.0633,49.0,8.0,49.0,8,0,2,['others']
52,36 Crazyfists,0.00119,0.585,198600.0,-4.843,0.115,-4.843,0.0847,52.0,0.0,52.0,0,1,2,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
53,38 Special,0.032874771000000004,0.525155556,256027.8,-11.42997778,0.125117778,-11.42997778,0.032602222,32.28888889,0.0,32.28888889,0,1,90,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
54,3BallMTY,0.213,0.792,193533.0,-5.01,0.061,-5.01,0.0685,57.0,9.0,57.0,9,1,1,"['mexican indie', 'trival']"
55,3LAU,0.1013,0.5335,201705.0,-4.26,0.22699999999999998,-4.26,0.0566,58.0,3.0,58.0,3,1,2,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
56,3LW,0.0558,0.7178,272055.8,-5.9238,0.15058,-5.9238,0.11084000000000001,49.2,6.0,49.2,6,0,5,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
57,3T,0.34966666700000004,0.669666667,320777.6667,-11.056,0.33066666699999997,-11.056,0.0342,45.33333333,10.0,45.33333333,10,0,3,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']"
58,3X Krazy,0.0165,0.7190000000000001,358467.0,-4.169,0.23600000000000002,-4.169,0.0829,47.0,10.0,47.0,10,0,2,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']"
59,3rd Strike,0.0075,0.444,249827.0,-4.962,0.24,-4.962,0.0484,38.0,2.0,38.0,2,1,2,"['nu metal', 'rap rock']"
60,3年E組うた担(渚&茅野&業&磯貝&前原),0.0389,0.591,248800.0,-2.483,0.214,-2.483,0.0675,60.0,0.0,60.0,0,1,2,['others']
61,4 Non Blondes,0.18415,0.528666667,239673.3333,-10.1005,0.12663333300000001,-10.1005,0.03825,48.0,7.0,48.0,7,1,12,"['new wave pop', 'pop rock']"
62,4 P.M.,0.7490000000000001,0.363,162093.0,-8.607999999999999,0.363,-8.607999999999999,0.034,37.0,11.0,37.0,11,0,2,"['anime rock', 'vocaloid']"
63,4 Skins,0.0104,0.2655,158007.0,-4.7330000000000005,0.6155,-4.7330000000000005,0.125,35.5,11.0,35.5,11,0,4,"['oi', 'punk', 'ska']"
64,4 Strings,0.00213,0.617,190427.0,-6.983,0.159,-6.983,0.0365,56.0,3.0,56.0,3,0,2,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']"
65,45 Grave,0.021412999999999998,0.438333333,177489.0,-8.350666667,0.1207,-8.350666667,0.075733333,27.66666667,10.0,27.66666667,10,0,6,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
66,4Him,0.282333333,0.47633333299999997,290636.3333,-10.05633333,0.111333333,-10.05633333,0.030133332999999998,32.66666667,4.0,32.66666667,4,1,6,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']"
67,5 Seconds of Summer,0.05982723400000001,0.546755319,197841.2447,-4.401457447,0.177270213,-4.401457447,0.08325319099999999,61.92553191,2.0,61.92553191,2,1,94,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
68,520Hz,0.996,-0.0027062179420039856,197680.0,-47.19,0.10400000000000001,-47.19,0.0,56.0,1.0,56.0,1,1,2,['white noise']
69,54-40,0.29100000000000004,0.669,166827.0,-11.036,0.132,-11.036,0.0305,45.0,0.0,45.0,0,1,2,"['canadian indie', 'canadian rock']"
70,6 Dogs,0.22399999999999998,0.748,171907.0,-4.704,0.10099999999999999,-4.704,0.0487,68.0,6.0,68.0,6,1,2,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
71,6cyclemind,0.44299999999999995,0.7175,295993.0,-8.5365,0.131,-8.5365,0.03095,57.5,3.0,57.5,3,1,4,"['classic opm', 'opm', 'pinoy rock']"
72,7 Seconds,1.18e-05,0.451,189200.0,-11.616,0.155,-11.616,0.0627,30.0,1.0,30.0,1,0,2,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge', 'thrash core']"
73,7 Year Bitch,9.03e-06,0.349,167333.0,-12.339,0.147,-12.339,0.0336,40.0,9.0,40.0,9,0,2,"['grunge', 'riot grrrl']"
74,702,0.197222222,0.74,255970.2222,-8.152000000000001,0.16442222199999998,-8.152000000000001,0.06581111099999999,51.88888889,10.0,51.88888889,10,1,9,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
75,707,0.0645,0.6709999999999999,285533.0,-11.549000000000001,0.057,-11.549000000000001,0.0336,26.0,9.0,26.0,9,0,2,['others']
76,7eventh Time Down,0.009640000000000001,0.58,176616.0,-4.3580000000000005,0.11599999999999999,-4.3580000000000005,0.0381,54.0,6.0,54.0,6,1,2,"['ccm', 'christian alternative rock', 'christian hard rock', 'christian music', 'christian rock']"
77,808 State,0.007925,0.55,287607.0,-12.2185,0.09715,-12.2185,0.0538,45.5,8.0,45.5,8,1,4,"['acid house', 'big beat', 'chicago house', 'electro', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']"
78,88GLAM,0.0166,0.764,180813.0,-4.274,0.10300000000000001,-4.274,0.0655,74.0,6.0,74.0,6,0,2,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
79,88rising,0.389328571,0.6,200515.5714,-8.089,0.175414286,-8.089,0.10104285699999999,67.14285714,7.0,67.14285714,7,1,7,"['asian american hip hop', 'pop']"
80,94 East,0.179,0.7440000000000001,340440.0,-8.867,0.139,-8.867,0.0377,31.0,11.0,31.0,11,0,2,['minneapolis sound']
81,98º,0.332033333,0.622722222,250988.1111,-8.166611111,0.11663888900000001,-8.166611111,0.042561111,49.83333333,10.0,49.83333333,10,1,18,"['boy band', 'dance pop']"
82,99 Percent,0.0729,0.7859999999999999,157165.0,-4.247,0.179,-4.247,0.0523,60.0,2.0,60.0,2,1,2,['others']
83,999,0.030186667,0.596,217075.3333,-9.655333333,0.1723,-9.655333333,0.0489,33.33333333,2.0,33.33333333,2,1,6,"['oi', 'pub rock', 'punk']"
84,9tails,0.40399999999999997,0.711,217182.0,-6.81,0.122,-6.81,0.0322,67.0,11.0,67.0,11,1,2,['emo rap']
85,? & The Mysterians,0.21263363600000001,0.630545455,145557.6364,-8.167636364,0.149781818,-8.167636364,0.0419,24.18181818,2.0,24.18181818,2,1,22,"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
86,A,0.000819,0.259,223267.0,-5.9479999999999995,0.512,-5.9479999999999995,0.0793,48.0,2.0,48.0,2,1,2,"['dance pop', 'pop', 'post-teen pop']"
87,A Certain Ratio,0.132125,0.695,344633.0,-7.848,0.07475,-7.848,0.0631,28.5,2.0,28.5,2,1,4,"['dance rock', 'dance-punk', 'experimental', 'new wave', 'no wave', 'post-punk', 'uk post-punk']"
88,A Change of Pace,0.0011,0.528,183893.0,-4.874,0.0655,-4.874,0.0704,43.0,9.0,43.0,9,1,2,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']"
89,A Day To Remember,0.025386785,0.400111111,207685.9259,-4.435851852,0.286644444,-4.435851852,0.112564815,53.09259259,0.0,53.09259259,0,1,108,"['metalcore', 'pop punk', 'screamo']"
90,A Fine Frenzy,0.9470000000000001,0.5489999999999999,268800.0,-7.778,0.106,-7.778,0.0338,53.0,0.0,53.0,0,1,2,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']"
91,A Flock Of Seagulls,0.02664142,0.51045,248003.4,-9.1263,0.20853000000000002,-9.1263,0.037445,42.5,2.0,42.5,2,1,40,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
92,A Foot In Coldwater,0.0126,0.444,311867.0,-7.775,0.10800000000000001,-7.775,0.039,32.0,2.0,32.0,2,1,2,['others']
93,A Great Big World,0.6258,0.4695,243813.5,-8.29675,0.113625,-8.29675,0.043625,58.25,2.0,58.25,2,1,8,"['indiecoustica', 'neo mellow', 'piano rock', 'pop rock']"
94,A Guy Called Gerald,0.03,0.6829999999999999,267107.0,-9.033999999999999,0.0724,-9.033999999999999,0.0602,46.0,2.0,46.0,2,1,2,"['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno']"
95,A Heart Beats,0.8540000000000001,0.507,146173.0,-11.857000000000001,0.172,-11.857000000000001,0.0651,37.0,7.0,37.0,7,1,2,"['doo-wop', 'rhythm and blues']"
96,A Jam Session At Victor,0.955,0.7170000000000001,178907.0,-15.267000000000001,0.0663,-15.267000000000001,0.0607,2.0,3.0,2.0,3,1,2,['others']
97,A L E X,0.8690000000000001,0.82,182869.0,-15.194,0.0925,-15.194,0.0802,63.0,8.0,63.0,8,0,1,"['chillhop', 'lo-fi beats']"
98,A Perfect Circle,0.10908790800000001,0.519525424,251080.3898,-9.76320339,0.135864407,-9.76320339,0.055608475,49.13559322,6.0,49.13559322,6,1,59,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock', 'supergroup']"
99,A R I Z O N A,0.17956923100000002,0.655076923,190651.3077,-7.372307692000001,0.11733846199999999,-7.372307692000001,0.051307692,65.07692308,0.0,65.07692308,0,1,13,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']"
100,A Rocket To The Moon,0.1617,0.374333333,203679.6667,-3.153666667,0.147333333,-3.153666667,0.030166667,57.33333333,11.0,57.33333333,11,1,6,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']"
101,A Skylit Drive,0.00121075,0.25275,210366.75,-3.42325,0.2539,-3.42325,0.094425,44.5,10.0,44.5,10,1,8,"['metalcore', 'pixie', 'post-screamo', 'screamo']"
102,A Static Lullaby,3.01e-05,0.555,200240.0,-6.063,0.0661,-6.063,0.154,48.0,8.0,48.0,8,1,2,"['melodic metalcore', 'post-hardcore', 'screamo']"
103,A Taste Of Honey,0.326025,0.75475,280870.0,-9.2815,0.121125,-9.2815,0.057625,45.5,2.0,45.5,2,0,8,"['boogie', 'disco', 'funk', 'post-disco']"
104,A Thousand Horses,0.0349,0.433,219080.0,-5.53,0.387,-5.53,0.028999999999999998,55.0,7.0,55.0,7,1,2,"['contemporary country', 'country pop', 'modern country rock']"
105,A Touch Of Class,0.31425,0.6755,181186.5,-6.03175,0.11875,-6.03175,0.030325,64.75,9.0,64.75,9,0,4,"['bubblegum dance', 'europop']"
106,A Tree Grows in Brooklyn Ensemble,0.953,0.45375,164456.75,-14.731,0.274475,-14.731,0.0479,0.25,7.0,0.25,7,1,4,['others']
107,A Tree Grows in Brooklyn Orchestra,0.915,0.261,302533.0,-10.377,0.146,-10.377,0.0342,1.0,3.0,1.0,3,1,1,['others']
108,A Tribe Called Red,0.023,0.6579999999999999,219853.0,-5.4079999999999995,0.0981,-5.4079999999999995,0.107,51.0,3.0,51.0,3,0,2,"['canadian indigenous', 'escape room', 'native american hip hop', 'ottawa rap']"
109,A Winged Victory for the Sullen,0.767,0.0804,266840.0,-21.006999999999998,0.11900000000000001,-21.006999999999998,0.04,45.0,11.0,45.0,11,1,2,"['ambient', 'chamber psych', 'compositional ambient', 'drift', 'drone', 'focus', 'neo-classical', 'post-rock', 'warm drone']"
110,A*M*E,0.000607,0.621,171213.0,-5.52,0.6559999999999999,-5.52,0.064,61.0,5.0,61.0,5,0,2,['reggae']
111,A*Teens,0.043089999999999996,0.7170000000000001,202773.6667,-5.705666667000001,0.257433333,-5.705666667000001,0.036566667000000004,44.33333333,4.0,44.33333333,4,1,6,"['bubblegum dance', 'dance pop', 'europop']"
112,A-Lin,0.583,0.39899999999999997,285547.0,-5.801,0.10400000000000001,-5.801,0.0357,60.0,8.0,60.0,8,1,2,"['anthem worship', 'canadian ccm', 'ccm']"
113,A-Mei Chang,0.29,0.542,318333.0,-11.702,0.409,-11.702,0.0366,51.0,10.0,51.0,10,1,2,"['c-pop', 'mandopop']"
114,A-Trak,0.009398,0.7048,287949.6,-3.6818,0.17292000000000002,-3.6818,0.13292,55.4,1.0,55.4,1,0,5,"['banda', 'grupera', 'regional mexican']"
115,A. Caminha,0.426,0.589,277307.0,-13.482999999999999,0.193,-13.482999999999999,0.0604,24.0,0.0,24.0,0,1,1,['others']
116,A. Jaziukevičius,0.973,0.33899999999999997,193773.0,-15.457,0.63,-15.457,0.0311,1.0,9.0,1.0,9,1,2,['lithuanian folk']
117,A. L. Lloyd,0.968,0.5765,220446.5,-12.4645,0.157,-12.4645,0.06465,11.0,6.0,11.0,6,1,2,"['broadway', 'show tunes', 'west end']"
118,A. M. Rajah,0.8835,0.55595,189582.25,-9.42375,0.213195,-9.42375,0.10973499999999999,4.4,6.0,4.4,6,1,20,"['deep indian pop', 'filmi']"
119,A.B. Quintanilla III,0.10308333300000001,0.7453333329999999,226057.6667,-4.654333333,0.215633333,-4.654333333,0.0752,50.0,7.0,50.0,7,1,6,['others']
120,A.B. Quintanilla III Y Los Kumbia Kings,0.348557895,0.768,219349.5789,-5.326052632,0.233463158,-5.326052632,0.072936842,49.21052632,11.0,49.21052632,11,1,19,['others']
121,A.C. Reed,0.20199999999999999,0.501,258227.0,-14.466,0.107,-14.466,0.0372,32.0,9.0,32.0,9,1,2,"['blues', 'chicago blues', 'electric blues', 'soul blues']"
122,A.C. Smyth,0.983,0.11800000000000001,106693.0,-22.774,0.10400000000000001,-22.774,0.0314,10.0,4.0,10.0,4,1,1,['others']
123,A.R. Kane,0.11900000000000001,0.581,308227.0,-10.862,0.0497,-10.862,0.0357,26.0,9.0,26.0,9,0,2,"['dream pop', 'shoegaze']"
124,A.R. Rahman,0.349903333,0.653666667,335205.5,-10.72966667,0.082066667,-10.72966667,0.044666667,57.5,9.0,57.5,9,1,6,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
125,A.l.t.,0.41200000000000003,0.7979999999999999,273400.0,-8.625,0.0446,-8.625,0.147,33.0,4.0,33.0,4,0,1,['others']
126,ABBA,0.354483554,0.575636364,234265.7686,-8.497115702,0.19293966899999998,-8.497115702,0.036741322,40.81818182,9.0,40.81818182,9,1,242,"['europop', 'swedish pop']"
127,ABC,0.21299,0.6827,231908.9,-7.1118,0.18308,-7.1118,0.06452000000000001,42.2,9.0,42.2,9,1,20,['others']
128,ABSRDST,0.0383,0.6509999999999999,241711.0,-5.287999999999999,0.17800000000000002,-5.287999999999999,0.0837,55.0,5.0,55.0,5,1,1,['hyperpop']
129,AC/DC,0.030241768999999998,0.46912,263588.7333,-4.80952,0.291534,-4.80952,0.07203999999999999,48.84,9.0,48.84,9,1,300,"['album rock', 'australian rock', 'hard rock', 'rock']"
130,ACOT,0.000319,0.73,169912.0,-8.085,0.105,-8.085,0.0587,64.0,1.0,64.0,1,0,2,['meme rap']
131,AFI,0.034671297000000004,0.3928,190969.7,-5.163633333,0.2168,-5.163633333,0.082703333,42.86666667,4.0,42.86666667,4,0,60,"['alternative metal', 'emo', 'modern rock', 'pop punk', 'punk', 'screamo', 'skate punk']"
132,AJ Meijer,0.8390000000000001,0.529,315947.0,-9.333,0.0916,-9.333,0.0588,53.0,10.0,53.0,10,0,1,['others']
133,AJ Michalka,0.431,0.75,202340.0,-9.576,0.0755,-9.576,0.0911,60.0,0.0,60.0,0,1,1,['others']
134,AJ Mitchell,0.3817,0.604,189474.5,-5.99025,0.0766,-5.99025,0.036775,73.75,5.0,73.75,5,1,8,"['pop', 'post-teen pop', 'social media pop']"
135,AJ Rafael,0.5154,0.68,208678.0,-6.3206,0.13935999999999998,-6.3206,0.03478,58.6,7.0,58.6,7,1,5,"['opm', 'pinoy indie', 'viral pop']"
136,AJJ,0.209344857,0.508,159988.4286,-6.921428571,0.35144285700000005,-6.921428571,0.076828571,48.57142857,0.0,48.57142857,0,1,14,"['acoustic punk', 'anti-folk', 'folk punk', 'indie rock']"
137,AJR,0.21362188699999998,0.599245283,216926.8868,-5.646603774,0.168877358,-5.646603774,0.066928302,57.50943396,7.0,57.50943396,7,1,53,"['modern rock', 'pop rock']"
138,ALI,0.0989,0.578,89667.0,-2.1319999999999997,0.35100000000000003,-2.1319999999999997,0.0642,65.0,5.0,65.0,5,0,2,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
139,ALISA UENO,0.0109,0.6990000000000001,184880.0,-5.704,0.152,-5.704,0.0392,66.0,11.0,66.0,11,1,2,['others']
140,ALO,0.36200000000000004,0.815,218973.0,-9.28,0.129,-9.28,0.0438,57.0,0.0,57.0,0,1,1,['r&b']
141,AOA,0.43,0.758,179808.0,-2.502,0.201,-2.502,0.0464,58.0,5.0,58.0,5,1,2,"['k-pop', 'k-pop girl group']"
142,APB,0.0578,0.601,223080.0,-8.006,0.0721,-8.006,0.129,32.0,10.0,32.0,10,0,2,['canadian hip hop']
143,APO Hiking Society,0.4698,0.47826666700000003,210464.8667,-11.79853333,0.179493333,-11.79853333,0.05177999999999999,39.13333333,2.0,39.13333333,2,1,30,"['classic opm', 'manila sound', 'opm', 'pinoy rock']"
144,ARIANNA BAGAGLINI,0.873,0.669,156977.0,-10.814,0.102,-10.814,0.0805,21.0,9.0,21.0,9,0,2,['others']
